key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(c)C(S)C(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C(S)C(=O)O
cc(c)C(SC)C(=O)O,,,,,,,,,,,,,,,,,,0.096205,1.0,2.0,0.0,0.0,0.91796875,right_only,SHAP_only,,cc(c)C(SC)C(=O)O
cc(c)C(c(c)c)c(n)n,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C(c(c)c)c(n)n
cc(c)C1=C(C)N=CS1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C1=C(C)N=CS1
cc(c)C1=C(c)CNC1=O,,,,,,,,,,,,,,,,,,0.006311,1.0,1.0,0.0,0.0,0.8090277777777778,right_only,SHAP_only,,cc(c)C1=C(c)CNC1=O
cc(c)C1=NNCC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C1=NNCC1
cc(c)C1CCC[C@H]1C,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C1CCC[C@H]1C
cc(c)C1OBc=c1-c,,,,,,,,,,,,,,,,,,8e-06,0.0035,1.0,0.0,9.0,0.5861545138888888,right_only,SHAP_only,,cc(c)C1OBc=c1-c
cc(c)C=C(C)C,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C=C(C)C
cc(c)C=C(C)N,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C=C(C)N
cc(c)C=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)C=O
cc(c)CC,cc(c)CC,3.753987240829346,7.514083729150558,0.0048352989012055,2.3155766741907224,0.5833333333333334,0.0026022304832713,7.0,2.0,3.0,2.0,Medium_StrongEnriched,True,0.9295436349079264,0.8214571657325861,0.9295436349079264,0.8935148118494797,,,,,,,left_only,STATS_only,,cc(c)CC
cc(c)CC(=O)O,,,,,,,,,,,,,,,,,,0.000836,0.312,1.0,0.0,1.0,0.6692708333333334,right_only,SHAP_only,,cc(c)CC(=O)O
cc(c)CC(C)=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CC(C)=O
cc(c)CC(C)P,cc(c)CC(C)P,0.0,0.4925600086890409,1.0,-0.0,0.0,0.0,0.0,0.0,5.0,0.0,Negative_InactiveOnly,False,0.18254603682946358,0.07606084867894315,0.18254603682946358,0.14705097411262344,,,,,,,left_only,STATS_only,,cc(c)CC(C)P
